Voltage[V]	Current[mA]
53.706000	-2.835794E-10
53.712000	-3.067304E-10
53.718000	-2.907501E-10
53.724000	-1.520487E-10
53.730000	-2.803013E-10
53.736000	-2.524382E-10
53.742000	-2.876769E-10
53.748000	-2.557161E-10
53.754000	-4.290416E-10
53.760000	-3.130815E-10
53.766000	-2.606332E-10
53.772000	-3.298814E-10
53.778000	-3.604080E-10
53.784000	-1.887216E-10
53.790000	-3.319302E-10
53.796000	-2.167897E-10
53.802000	-1.131222E-10
53.808000	-3.249644E-10
53.814000	-3.161548E-10
53.820000	-3.145157E-10
53.826000	-2.987402E-10
53.832000	-3.075499E-10
53.838000	-3.145157E-10
53.844000	-2.716964E-10
53.850000	-3.091888E-10
53.856000	-3.497544E-10
53.862000	-2.782525E-10
53.868000	-2.587892E-10
53.874000	-3.786420E-10
53.880000	-3.100083E-10
53.886000	-3.118522E-10
53.892000	-2.932085E-10
53.898000	-3.403301E-10
53.904000	-1.639314E-10
53.910000	-2.702624E-10
53.916000	-2.893159E-10
53.922000	-2.659600E-10
53.928000	-2.526430E-10
53.934000	-3.001743E-10
53.940000	-2.759989E-10
53.946000	-2.817355E-10
53.952000	-3.595884E-10
